date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2008-04-10,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-11,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-12,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-13,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-14,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-15,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-16,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-17,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-18,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-19,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-20,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-21,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-22,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-23,NO 15/9-F-4 AH,10.0,,,,,,0.0,,,,166.0769025,injection
2008-04-24,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,3565.065388541667,injection
2008-04-25,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,6916.922637708333,injection
2008-04-26,NO 15/9-F-4 AH,18.65,,,,,,0.0,,,,6617.815574210526,injection
2008-04-27,NO 15/9-F-4 AH,15.95833,,,,,,0.0,,,,4507.0,injection
2008-04-28,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-29,NO 15/9-F-4 AH,5.0,,,,,,0.0,,,,1450.0,injection
2008-04-30,NO 15/9-F-4 AH,21.04167,,,,,,0.0,,,,6529.806390465116,injection
2008-05-01,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,6999.033660833334,injection
2008-05-02,NO 15/9-F-4 AH,23.23,,,,,,0.0,,,,6760.543202916667,injection
2008-05-03,NO 15/9-F-4 AH,23.83333,,,,,,0.0,,,,7389.424170208334,injection
2008-05-04,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,8000.0,injection
2008-05-05,NO 15/9-F-4 AH,22.75,,,,,,0.0,,,,6491.986785,injection
2008-05-06,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7008.0,injection
2008-05-07,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7008.0,injection
2008-05-08,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7008.0,injection
2008-05-09,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7008.0,injection
2008-05-10,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7007.9517516666665,injection
2008-05-11,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7007.757904166667,injection
2008-05-12,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7008.0,injection
2008-05-13,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7008.0,injection
2008-05-14,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7004.708999375,injection
2008-05-15,NO 15/9-F-4 AH,24.0,,,,,,0.0,,,,7800.0,injection
